Title,Description,Link,Ensemble Classification
"Labour productivity and related variables by business sector industry, consistent with the North American Industry Classification System (NAICS) and the System of National Accounts (SNA) Archived"," Annual historical data, for Canada and the provinces and territories, 1997 - 2011.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610030801,Supply
"Labour productivity and related variables, by business sector industry Archived"," Annual historical data, consistent with the North American Industry Classification System (NAICS) and the System of National Accounts (SNA), for Canada and the provinces and...Description: Annual historical data, consistent with the North American Industry Classification System (NAICS) and the System of National Accounts (SNA), for Canada and the provinces and territories, 1997 - 2015.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021401,Supply
"Labour productivity and related variables, by industry according to the Canadian System of National Accounts Archived"," This table contains 2886 series, with data for years 1961 - 2001 (not all combinations necessarily have data for all years), and was last released on 2007-03-06. This table contains...Description: This table contains 2886 series, with data for years 1961 - 2001 (not all combinations necessarily have data for all years), and was last released on 2007-03-06. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Labour productivity measures and related measures (13 items: Real value added; Hours worked for all jobs; Total number of jobs; Annual average number of hours worked for all jobs ...), Industries, by aggregation (222 items: Total economy; special aggregation; Business sector - goods; special aggregation; Business sector - services; special aggregation; Business sector; special aggregation   More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610030301,Supply
Labour statistics by business sector industry and by non-commercial activity consistent with the industry accounts Archived," Annual historical data, consistent with the industries accounts, provinces and territories, 1997 - 2015.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021501,Supply
"Labour statistics by business sector industry and non-commercial activity, consistent with the System of National Accounts, by North American Industry Classification System (NAICS) Archived"," Annual historical data, for Canada and the provinces and territories, 1997 - 2011.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610030701,Supply
"Labour statistics consistent with the System of National Accounts (SNA), by job category and industry"," Labour statistics by job category, for Canada, the provinces and territories, annual.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610048901,Supply
"Labour statistics consistent with the System of National Accounts, by sector, job category and North American Industry Classification System (NAICS), S-level aggregation Archived"," This table contains 11685 series, with data for years 1997 - 2011 (not all combinations necessarily have data for all years), and was last released on 2013-05-15. This table contains...Description: This table contains 11685 series, with data for years 1997 - 2011 (not all combinations necessarily have data for all years), and was last released on 2013-05-15. This table contains data described by the following dimensions (Not all combinations are available): Geography (15 items: Newfoundland and Labrador; Canada; Nova Scotia; Prince Edward Island ...), Sector (3 items: Total economy; Non-business sector; Business sector ...), Labour productivity measures and related measures (15 items: Total number of jobs; Number of employee jobs; Number of self-employed jobs; Hours worked for all jobs ...), North American Industry Classification System (NAICS) (19 items: All industries; Agriculture; forestry; fishing and hunting ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610030601,Supply
"Labour statistics, non-commercial sector industries according to the Canadian System of National Accounts Archived"," This table contains 138 series, with data for years 1961 - 2001 (not all combinations necessarily have data for all years), and was last released on 2007-03-06. This table contains data...Description: This table contains 138 series, with data for years 1961 - 2001 (not all combinations necessarily have data for all years), and was last released on 2007-03-06. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Employment measures (2 items: Number of employee jobs; Hours worked for employee jobs ...), Non-business sector industries, by aggregation (69 items: Non-commercial sector industries; special aggregate; Non-commercial sector - goods; special aggregate; Non-commercial sector - services; special aggregate; Agricultural and related service industries; S-level aggregation ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610030401,Supply
"Laspeyres fixed weighted imports and exports volume indexes, annual Archived"," This table contains 12 series, with data for years 1968 - 1984 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 12 series, with data for years 1968 - 1984 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Type of commodity (6 items: Total; volume index;Live animals;Food; feed; beverages and tobacco;Crude materials; inedible ...), Imports and exports (2 items: Imports;Exports ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210004201,Supply
"Laspeyres fixed weighted imports and exports volume indexes, monthly Archived"," This table contains 24 series, with data for years 1968 - 1984 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 24 series, with data for years 1968 - 1984 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Type of commodity (6 items: Total; volume index;Live animals;Food; feed; beverages and tobacco;Crude materials; inedible ...), Imports and exports (2 items: Imports;Exports ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210004001,Supply
"Laspeyres fixed weighted imports and exports volume indexes, quarterly Archived"," This table contains 24 series, with data for years 1968 - 1984 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 24 series, with data for years 1968 - 1984 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Type of commodity (6 items: Total; volume index;Crude materials; inedible;Food; feed; beverages and tobacco;Live animals ...), Imports and exports (2 items: Imports;Exports ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210004101,Supply
Machinery and equipment price index Archived," Machinery and equipment price index of domestic and imported at the Canada level. (1997=100) The index includes data for the current period, as well as those for the last four periods.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810010601,Supply
Machinery and equipment price indexes (MEPI) (1986=100) Archived," This table contains 54 series, with data for years 1971 - 2005 (not all combinations necessarily have data for all years), and was last released on 2006-02-28. This table contains data...Description: This table contains 54 series, with data for years 1971 - 2005 (not all combinations necessarily have data for all years), and was last released on 2006-02-28. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodity (18 items: Office furniture and visible record equipment; Cutting and forming tools; Commercial appliances for cooking and warming foods; Tanks ...), Machinery and equipment, domestic and imported (3 items: Total domestic and imported; Domestic; Imported ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810007901,Supply
"Machinery and equipment price indexes (MEPI), by commodity level 323, special purpose (1971=100) Archived"," This table contains 36 series, with data for years 1971 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-19. This table contains data...Description: This table contains 36 series, with data for years 1971 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-19. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Industries (12 items: Special forestry machinery and equipment; Special textile machinery and equipment; Special mining and ore processing machinery; Special food and beverage machinery and equipment ...), Machinery and equipment, domestic and imported (3 items: Total; domestic and imported; Domestic; Imported ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810008901,Supply
"Machinery and equipment price indexes (MEPI), by commodity level 323, special purpose (1986=100) Archived"," This table contains 36 series, with data for years 1971 - 2005 (not all combinations necessarily have data for all years), and was last released on 2007-01-17. This table contains data...Description: This table contains 36 series, with data for years 1971 - 2005 (not all combinations necessarily have data for all years), and was last released on 2007-01-17. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodity (12 items: Special forestry machinery and equipment; Special textile machinery and equipment; Special mining and ore processing machinery; Special food and beverage machinery and equipment ...), Machinery and equipment, domestic and imported (3 items: Total domestic and imported; Domestic; Imported ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810008001,Supply
"Machinery and equipment price indexes (MEPI), quarterly (1971=100) Archived"," This table contains 54 series, with data for years 1971 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-19. This table contains data...Description: This table contains 54 series, with data for years 1971 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-19. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Type of machinery and equipment (18 items: Office furniture and visible record equipment; Tanks; Commercial appliances for cooking and warming foods; Cutting and forming tools ...), Machinery and equipment, domestic and imported (3 items: Total; domestic and imported; Domestic; Imported ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810008801,Supply
Manufactured food grain products Archived," This table contains 4 series, with data for years 1946 - 1984 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 4 series, with data for years 1946 - 1984 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada) ; Type of grain products (4 items: Wheat flour production, percent of capacity;Wheat flour production;Wheat flour exports;Oatmeal and rolled oats production).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210025301,Supply
"Manufacturers' inventories held, by Standard Industrial Classification, 1980 (SIC) Archived"," This table contains 684 series, with data for years 1980 - 1994 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 684 series, with data for years 1980 - 1994 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Standard Industrial Classification, 1980 (SIC) (285 items: All manufacturing industries; Non-durable goods industries; Food industries; Meat and poultry products industries; ...); Seasonal adjustment (2 items: Unadjusted; Seasonally adjusted); Principal statistics (3 items: Total inventory held, estimated values, at end of month; Goods in process, estimated values, inventory held at end of month; Inventory held but not owned, estimated values).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610008801,Supply
"Manufacturers' inventories, orders and inventory to shipment ratios, by Standard Industrial Classification, 1980 (SIC) Archived"," This table contains 2030 series, with data for years 1980 - 1997 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 2030 series, with data for years 1980 - 1997 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Standard Industrial Classification, 1980 (SIC) (285 items: All manufacturing industries; Non-durable goods industries; Food industries; Meat and poultry products industries; ...); Principal statistics (8 items: New orders, estimated values of orders received during the month; Unfilled orders, estimated values of orders at end of month; Raw materials, estimated values of raw materials, inventory held at end of month; Goods in process, estimated values of goods in process, inventory owned at end of month; ...); Seasonal adjustment (2 items: Unadjusted; Seasonally adjusted).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610007701,Supply
"Manufacturers' sales, inventories, orders and inventory to sales ratios, by industry (dollars unless otherwise noted)"," Monthly Canadian manufacturers' sales, new orders, unfilled orders, raw materials, goods or work in process, finished goods, total inventories, inventory to sales ratios and finished...Description: Monthly Canadian manufacturers' sales, new orders, unfilled orders, raw materials, goods or work in process, finished goods, total inventories, inventory to sales ratios and finished goods to sales ratios for durable and non-durable goods by North American Industry Classification System (NAICS), in dollars unless otherwise noted. Unadjusted and seasonally adjusted values available from January 1992 to the current reference month.  More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610004701,Supply
"Manufacturing activities, by Standard Industrial Classification, 1970 (SIC) Archived"," This table contains 70524 series, with data for years 1970 - 1982 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 70524 series, with data for years 1970 - 1982 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada; Atlantic Region; Newfoundland and Labrador; Prince Edward Island; ...); Principal statistics (27 items: Total number of establishments; Inventory, raw materials opening; Inventory, raw materials closing; Inventory, goods in process opening; ...); Standard Industrial Classification, 1970 (SIC) (230 items: Total manufacturing, all industries; Food and beverage industries; Meat and poultry products industries; Slaughtering and meat processors; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610005301,Supply
"Manufacturing activities, by Standard Industrial Classification, 1980 (SIC) Archived"," This table contains 6226 series, with data for years 1981 - 1997 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 6226 series, with data for years 1981 - 1997 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (14 items: Canada; Atlantic Region; Newfoundland and Labrador; Prince Edward Island; ...); Principal statistics (11 items: Number of establishments; Production workers; Production workers wages; Production workers hours paid; ...); Standard Industrial Classification, 1980 (SIC) (267 items: All manufacturing industries; Food industries; Meat and meat products industry (except poultry);Poultry products industry; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610005201,Supply
"Manufacturing capacity utilization rates, by North American Industry Classification System (NAICS)"," Monthly capacity utilization rates for Canadian manufacturers by North American Industry Classification System (NAICS), from January 2017 to the current reference month.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610001201,Supply
"Manufacturing industries, principal statistics by industry classification, total 3-digit level, annual Archived"," Manufacturing industries, annual 21 principal statistics (revenues, expenses, salaries, employment, stocks, etc.), by North American Industry Classification System (NAICS), total and...Description: Manufacturing industries, annual 21 principal statistics (revenues, expenses, salaries, employment, stocks, etc.), by North American Industry Classification System (NAICS), total and 3-digit level.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610003801,Supply
"Manufacturing industries, total annual energy fuel consumption in gigajoules, 31-33"," Data are presented at the national level by fuel type in gigajoules (butane, electricity, steam, etc) and by North American Industry Classification System (NAICS). Not all combinations...Description: Data are presented at the national level by fuel type in gigajoules (butane, electricity, steam, etc) and by North American Industry Classification System (NAICS). Not all combinations are available.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510002501,Supply
"Manufacturing industries, total annual energy fuel consumption in natural units, 31-33"," Data are presented at the national level, by fuel type (butane, electricity, steam, etc) and by North American Industry Classification System (NAICS). Not all combinations are available.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510002401,Supply
"Manufacturing sales by industry and province, monthly (dollars unless otherwise noted)"," Monthly provincial and territorial manufacturing sales, by North American Industry Classification System (NAICS), data in thousands of dollars. Unadjusted and seasonally adjusted...Description: Monthly provincial and territorial manufacturing sales, by North American Industry Classification System (NAICS), data in thousands of dollars. Unadjusted and seasonally adjusted values available from January 1992 to the current reference month. Not all combinations are available.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610004801,Supply
"Manufacturing shipments, by province and Standard Industrial Classification, 1970 (SIC) Archived"," This table contains 211 series, with data for years 1970 - 1984 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 211 series, with data for years 1970 - 1984 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (10 items: Newfoundland and Labrador; Prince Edward Island; Nova Scotia; New Brunswick; ...); Standard Industrial Classification, 1970 (SIC) (22 items: All manufacturing industries; Food and beverage industries; Tobacco products industry; Rubber and plastics products industries; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610008001,Supply
"Manufacturing shipments, by Standard Industrial Classification, 1980 (SIC) Archived"," This table contains 2980 series, with data for years 1980 - 1997 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 2980 series, with data for years 1980 - 1997 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (17 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...); Standard Industrial Classification, 1980 (SIC) (285 items: All manufacturing industries; Non-durable goods industries; Food industries; Meat and poultry products industries; ...); Seasonal adjustment (2 items: Unadjusted; Seasonally adjusted).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610007801,Supply
"Market Basket Measure (MBM) thresholds (2011 base) for reference family, by Market Basket Measure region and component, in current dollars and 2016 constant dollars, inactive Archived"," This table contains 600 series, with data for years 2002 - 2015 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 600 series, with data for years 2002 - 2015 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available):  Geography (50 items: Newfoundland and Labrador, rural; Newfoundland and Labrador, population under 30,000; St. John's, Newfoundland and Labrador; Prince Edward Island, rural; ...)  Dollar concept (2 items: 2015 constant dollars; Current dollars)  Component (6 items: Total threshold; Food; Clothing; Transportation; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110023001,Supply
"Meat production, supply and disposition in Canada Archived"," This table contains 49 series, with data for years 1920 - 2006 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data...Description: This table contains 49 series, with data for years 1920 - 2006 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Supply and disposition (13 items: Total supply;Exports;Used for canning;On hand December 31; ...); Commodity (5 items: Beef;Veal;Mutton and lamb;Pork; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210029901,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, annual (1986) Archived"," This table contains 816 series, with data for years 1986 - 1996 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 816 series, with data for years 1986 - 1996 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Basis (2 items: Customs basis;Balance of payments basis ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Meat and meat preparations; imports;Section II imports; food; feed; beverages and tobacco;Section I imports; live animals ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210002401,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, annual (1992) Archived"," This table contains 816 series, with data for years 1992 - 2000 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 816 series, with data for years 1992 - 2000 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major commodity groups (137 items: Total; import commodity classes;Section I imports - live animals;Meat and meat preparations; imports;Section II imports - food; feed; beverages and tobacco ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210001801,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, annual (1997) Archived"," This table contains 816 series, with data for years 1997 - 2006 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 816 series, with data for years 1997 - 2006 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major commodity groups (137 items: Imports; total of all merchandise;Imports; Section 1 Live animals;Imports; Major group 2.1 Meat and meat preparations;Imports; Section 2 Food; feed; beverages and tobacco ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210004901,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, annual (2002) Archived"," This table contains 816 series, with data for years 2002 - 2011 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 816 series, with data for years 2002 - 2011 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major commodity groups (137 items: Imports; total of all merchandise;Imports; Major group 2.1 Meat and meat preparations;Imports; Section 2 Food; feed; beverages and tobacco;Imports; Section 1 Live animals ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210006101,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, monthly (1986) Archived"," This table contains 1632 series, with data for years 1986 - 1997 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 1632 series, with data for years 1986 - 1997 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Basis (2 items: Customs basis;Balance of payments basis ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports;Section I imports; live animals ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210002201,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, monthly (1992) Archived"," This table contains 1632 series, with data for years 1992 - 2001 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 1632 series, with data for years 1992 - 2001 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes;Meat and meat preparations; imports;Section I imports - live animals;Section II imports - food; feed; beverages and tobacco ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210001601,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, monthly (1997) Archived"," This table contains 1632 series, with data for years 1997 - 2007 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 1632 series, with data for years 1997 - 2007 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Imports; total of all merchandise;Imports; Section 2 Food; feed; beverages and tobacco;Imports; Major group 2.1 Meat and meat preparations;Imports; Section 1 Live animals ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210004701,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, monthly (2002) Archived"," This table contains 1632 series, with data for years 2002 - 2012 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 1632 series, with data for years 2002 - 2012 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Imports; total of all merchandise;Imports; Section 2 Food; feed; beverages and tobacco;Imports; Major group 2.1 Meat and meat preparations;Imports; Section 1 Live animals ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210005901,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, quarterly (1986) Archived"," This table contains 1632 series, with data for years 1986 - 1997 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 1632 series, with data for years 1986 - 1997 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Basis (2 items: Customs basis;Balance of payments basis ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Section II imports; food; feed; beverages and tobacco;Meat and meat preparations; imports;Section I imports; live animals ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210002301,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, quarterly (1992) Archived"," This table contains 1632 series, with data for years 1992 - 2001 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 1632 series, with data for years 1992 - 2001 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Total; import commodity classes;Section I imports - live animals;Section II imports - food; feed; beverages and tobacco;Meat and meat preparations; imports ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210001701,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, quarterly (1997) Archived"," This table contains 1632 series, with data for years 1997 - 2007 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 1632 series, with data for years 1997 - 2007 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Imports; total of all merchandise;Imports; Section 1 Live animals;Imports; Section 2 Food; feed; beverages and tobacco;Imports; Major group 2.1 Meat and meat preparations ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210004801,Supply
"Merchandise imports and exports balance of payments and customs-based price and volume indexes for all countries, quarterly (2002) Archived"," This table contains 1632 series, with data for years 2002 - 2012 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 1632 series, with data for years 2002 - 2012 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Basis (2 items: Customs;Balance of payments ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Seasonal adjustment (2 items: Unadjusted;Seasonally adjusted ...), Import and export major commodity groups (137 items: Imports; total of all merchandise;Imports; Section 1 Live animals;Imports; Section 2 Food; feed; beverages and tobacco;Imports; Major group 2.1 Meat and meat preparations ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210006001,Supply
"Merchandise imports and exports balance of payments-based price and volume indexes for all countries, annual (1971) Archived"," This table contains 411 series, with data for years 1971 - 1985 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 411 series, with data for years 1971 - 1985 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Meat and meat preparations; imports;Section II imports; food; feed; beverages and tobacco;Section I imports; live animals ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210003001,Supply
"Merchandise imports and exports balance of payments-based price and volume indexes for all countries, annual (1981) Archived"," This table contains 411 series, with data for years 1971 - 1989 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 411 series, with data for years 1971 - 1989 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Index (2 items: Price index;Volume index ...), Weighting (2 items: Paasche current weighted;Laspeyres fixed weighted ...), Import and export major commodity groups (137 items: Total; import commodity classes; all countries;Section II imports; food; feed; beverages and tobacco;Section I imports; live animals;Meat and meat preparations; imports ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210002701,Supply
